# 5°-2m/s (Up to date)
# 611 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,8.9546,0,8.9888,0,0,0,0,0,0.78342,-23.36,-48,9.7865,85,0,0,0,18901,2848.5,8.5775,0.059742,NaN,146.73,NaN,0.0060219,287951,354.16,3.4238e-5,0.47931,7.5973e-4,0.3593,2.805e-6,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.5,188.69,85,0,NaN,10.938,940.64,337.93,0.01,0.0051006
0.01,4.4773e-4,0.089546,27.638,0.089888,27.744,3.9171e-5,0,3.9171e-5,0,0.0078342,2.418,-23.36,-48,9.7865,82.441,0,0,0,18901,2848.5,8.5775,0.059742,NaN,146.73,NaN,0.0059342,283755,708.64,1.1199e-4,0.48051,0.002559,0.3605,2.7238e-6,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2043e-5,15.5,188.69,85,0,NaN,10.937,940.64,337.93,0.01,0.0057326
0.02,0.0027254,0.366,27.68,0.3674,27.786,2.3844e-4,0,2.3844e-4,0,0.032021,2.4217,-23.36,-48,9.7865,74.568,0,0,0,18896,2843.8,8.5768,0.059734,NaN,146.72,NaN,0.0059818,286034,709.27,8.8197e-4,0.47985,0.019834,0.35984,2.7677e-6,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9225e-5,15.5,188.69,85,0,NaN,10.937,940.64,337.93,0.01,0.0087305
0.03,0.0077698,0.64291,27.726,0.64536,27.832,6.7977e-4,0,6.7977e-4,0,0.056247,2.4257,-23.36,-48,9.7865,66.95,0,0,0,18890,2837.6,8.5759,0.059724,NaN,146.71,NaN,0.00614,293596,709.9,0.0027964,0.47774,0.059688,0.35773,2.916e-6,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6467e-5,15.5,188.69,85,0,NaN,10.937,940.64,337.93,0.01,0.013277
0.04,0.015586,0.92027,27.771,0.92378,27.877,0.0013636,0,0.0013636,0,0.080513,2.4297,-23.36,-48,9.7865,59.821,0,0,0,18884,2831.4,8.575,0.059714,NaN,146.7,NaN,0.006401,306074,710.53,0.0061231,0.4744,0.12025,0.35439,3.1692e-6,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2377e-4,15.5,188.69,85,0,NaN,10.937,940.64,337.93,0.01,0.013827
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.026177,1.1981,27.817,1.2027,27.923,0.0022902,0,0.0022902,0,0.10482,2.4336,-23.36,-48,9.7865,53.333,0,0,0,18877,2825.2,8.574,0.059704,NaN,146.69,NaN,0.0067533,322922,711.16,0.010945,0.47017,0.19311,0.35016,3.5277e-6,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6114e-4,15.5,188.69,85,0,NaN,10.937,940.64,337.93,0.01,0.014395
0.06,0.039549,1.4763,27.862,1.482,27.968,0.0034601,0,0.0034601,0,0.12916,2.4376,-23.36,-48,9.7865,48.305,0,0,0,18871,2819,8.5731,0.059694,NaN,146.68,NaN,0.0073113,349601,711.79,0.017073,0.46404,0.25701,0.34403,4.1347e-6,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9856e-4,15.5,188.69,85,0,NaN,10.937,940.64,337.93,0.01,0.014892
0.07,0.055706,1.7551,27.907,1.7618,28.014,0.0048737,0,0.0048737,0,0.15355,2.4416,-23.36,-48,9.7865,44.012,0,0,0,18865,2812.9,8.5722,0.059683,NaN,146.67,NaN,0.0079183,378627,712.42,0.024477,0.45805,0.31414,0.33803,4.8498e-6,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3605e-4,15.5,188.69,85,0,NaN,10.937,940.64,337.93,0.01,0.01537
0.08,0.074653,2.0342,27.952,2.042,28.059,0.0065313,0,0.0065313,0,0.17797,2.4455,-23.36,-48,9.7865,40.341,0,0,0,18859,2806.7,8.5712,0.059673,NaN,146.66,NaN,0.0085644,409520,713.05,0.033055,0.4523,0.36264,0.33229,5.6736e-6,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7359e-4,15.5,188.69,85,0,NaN,10.937,940.63,337.93,0.01,0.015863
